Date,Adj Close,Volume
2020-10-05,520.650024,4088100
2020-10-06,505.869995,4199000
2020-10-07,534.659973,7988700
2020-10-08,531.789978,5386500
2020-10-09,539.440002,4781300
2020-10-12,539.809998,5391100
2020-10-13,554.090027,5602500
2020-10-14,541.450012,9499000
2020-10-15,541.940002,5113100
2020-10-16,530.789978,6347400
2020-10-19,530.719971,7567500
2020-10-20,525.419983,10047200
2020-10-21,489.049988,17405700
2020-10-22,485.230011,6997900
2020-10-23,488.279999,4927900
2020-10-26,488.23999,6186100
2020-10-27,488.929993,3627200
2020-10-28,486.23999,5992700
2020-10-29,504.209991,11120700
2020-10-30,475.73999,7807900
2020-11-02,484.119995,4408200
2020-11-03,487.220001,3690200
2020-11-04,496.950012,5137300
2020-11-05,513.76001,5372800
2020-11-06,514.72998,4236300
2020-11-09,470.5,10419700
2020-11-10,480.23999,8306100
2020-11-11,490.76001,5460500
2020-11-12,486.769989,5063700
2020-11-13,482.839996,3002700
2020-11-16,479.100006,3953600
2020-11-17,480.630005,3698100
2020-11-18,481.790009,3629200
2020-11-19,484.670013,2254700
2020-11-20,488.23999,4253400
2020-11-23,476.619995,5416600
2020-11-24,482.880005,3550500
2020-11-25,485.0,3598600
2020-11-27,491.359985,2805800
2020-11-30,490.700012,3530900
2020-12-01,504.579987,5052700
2020-12-02,503.380005,3028400
2020-12-03,497.519989,2826100
2020-12-04,498.309998,3666200
2020-12-07,515.780029,4289300
2020-12-08,512.659973,4229000
2020-12-09,493.600006,4178800
2020-12-10,501.089996,3018200
2020-12-11,503.220001,3210900
2020-12-14,522.419983,5770400
2020-12-15,519.780029,3394900
2020-12-16,524.830017,3682400
2020-12-17,532.900024,3193400
2020-12-18,534.450012,4502700
2020-12-21,528.909973,3894000
2020-12-22,527.330017,1906600
2020-12-23,514.47998,2393200
2020-12-24,513.969971,1144000
2020-12-28,519.119995,2891900
2020-12-29,530.869995,4022400
2020-12-30,524.590027,1876300
2020-12-31,540.72998,5392300
2021-01-04,522.859985,4444400
2021-01-05,520.799988,3133900
2021-01-06,500.48999,5346200
2021-01-07,508.890015,3686400
2021-01-08,510.399994,2973900
2021-01-11,499.100006,3806200
2021-01-12,494.25,5990400
2021-01-13,507.790009,5032100
2021-01-14,500.859985,4177400
2021-01-15,497.980011,5895800
2021-01-19,501.769989,12315800
2021-01-20,586.340027,32637500
2021-01-21,579.840027,11802100
2021-01-22,565.169983,7550800
2021-01-25,556.780029,7207300
2021-01-26,561.929993,5023800
2021-01-27,523.280029,8670300
2021-01-28,538.599976,5969000
2021-01-29,532.390015,4325300
2021-02-01,539.039978,3547500
2021-02-02,548.159973,3767600
2021-02-03,539.450012,3172300
2021-02-04,552.159973,5164500
2021-02-05,550.789978,2376200
2021-02-08,547.919983,2791700
2021-02-09,559.070007,3703500
2021-02-10,563.590027,3991300
2021-02-11,557.590027,2730600
2021-02-12,556.52002,2197100
2021-02-16,557.280029,2624100
2021-02-17,551.340027,2069600
2021-02-18,548.219971,2456200
2021-02-19,540.219971,2841500
2021-02-22,533.780029,3078600
2021-02-23,546.150024,4136500
2021-02-24,553.409973,3245000
2021-02-25,546.700012,4252900
2021-02-26,538.849976,3755600
2021-03-01,550.640015,3041400
2021-03-02,547.820007,3042200
2021-03-03,520.700012,5362400
2021-03-04,511.290009,5034800
2021-03-05,516.390015,5070000
2021-03-08,493.329987,3981800
2021-03-09,506.440002,3470000
2021-03-10,504.540009,3771500
2021-03-11,523.059998,4714500
2021-03-12,518.02002,3981700
2021-03-15,520.25,3484300
2021-03-16,524.030029,3238900
2021-03-17,524.440002,2817400
2021-03-18,504.790009,4094500
2021-03-19,512.179993,4386400
2021-03-22,523.109985,3360600
2021-03-23,535.090027,5583500
2021-03-24,520.809998,4102200
2021-03-25,502.859985,4926800
2021-03-26,508.049988,3467800
2021-03-29,513.950012,3330000
2021-03-30,513.390015,2418100
2021-03-31,521.659973,3503100
2021-04-01,539.419983,3938600
2021-04-05,540.669983,3355900
2021-04-06,544.530029,3474200
2021-04-07,546.98999,2151300
2021-04-08,554.580017,4309800
2021-04-09,555.309998,2894000
2021-04-12,552.780029,2944100
2021-04-13,553.72998,2720300
2021-04-14,540.02002,3740300
2021-04-15,549.219971,3139100
2021-04-16,546.539978,3209100
2021-04-19,554.440002,4288700
2021-04-20,549.570007,11257600
2021-04-21,508.899994,22897400
2021-04-22,508.779999,9061100
2021-04-23,505.549988,7307700
2021-04-26,510.299988,4388800
2021-04-27,505.549988,3761300
2021-04-28,506.519989,3193000
2021-04-29,509.0,5127800
2021-04-30,513.469971,4413200
2021-05-03,509.109985,4091900
2021-05-04,503.179993,4349500
2021-05-05,496.079987,3129400
2021-05-06,499.549988,3783700
2021-05-07,503.839996,3132800
2021-05-10,486.690002,5131600
2021-05-11,495.079987,4401000
2021-05-12,484.980011,4121500
2021-05-13,486.660004,2712500
2021-05-14,493.369995,2882500
2021-05-17,488.940002,2705200
2021-05-18,486.279999,2350500
2021-05-19,487.700012,3349900
2021-05-20,501.670013,3721200
2021-05-21,497.890015,3322900
2021-05-24,502.899994,2412600
2021-05-25,501.339996,2699500
2021-05-26,502.359985,2465300
2021-05-27,503.859985,3253800
2021-05-28,502.809998,2910300
2021-06-01,499.079987,2482600
2021-06-02,499.23999,2269000
2021-06-03,489.429993,3887400
2021-06-04,494.73999,3160500
2021-06-07,494.660004,2791900
2021-06-08,492.390015,2374000
2021-06-09,485.809998,3055000
2021-06-10,487.269989,4382900
2021-06-11,488.769989,3124000
2021-06-14,499.890015,4400200
2021-06-15,491.899994,3104100
2021-06-16,492.410004,3533200
2021-06-17,498.339996,3198300
2021-06-18,500.769989,5197600
2021-06-21,497.0,5277300
2021-06-22,508.820007,5809300
2021-06-23,512.73999,3944800
2021-06-24,518.059998,3361200
2021-06-25,527.070007,5299100
2021-06-28,533.030029,2820200
2021-06-29,533.5,2314600
2021-06-30,528.210022,2773400
2021-07-01,533.539978,2805400
2021-07-02,533.97998,1975500
2021-07-06,541.640015,2775100
2021-07-07,535.960022,2722500
2021-07-08,530.76001,3269000
2021-07-09,535.97998,2777200
2021-07-12,537.309998,1780700
2021-07-13,540.679993,2751600
2021-07-14,547.950012,4659500
2021-07-15,542.950012,5713900
2021-07-16,530.309998,3442100
2021-07-19,532.280029,3885800
2021-07-20,531.049988,6930400
2021-07-21,513.630005,11906800
2021-07-22,511.769989,4328100
2021-07-23,515.409973,3820500
2021-07-26,516.48999,2254500
2021-07-27,518.909973,2759000
2021-07-28,519.299988,2390500
2021-07-29,514.25,1736000
2021-07-30,517.570007,2534900
2021-08-02,515.150024,2096600
2021-08-03,510.820007,2579400
2021-08-04,517.349976,2039400
2021-08-05,524.890015,2556700
2021-08-06,520.549988,1919400
2021-08-09,519.969971,1367800
2021-08-10,515.840027,1960500
2021-08-11,512.400024,1673900
2021-08-12,510.720001,1685700
2021-08-13,515.919983,2176300
2021-08-16,517.919983,2032800
2021-08-17,518.909973,2309800
2021-08-18,521.869995,2582000
2021-08-19,543.710022,7497300
2021-08-20,546.880005,3774300
2021-08-23,553.330017,2602000
2021-08-24,553.409973,2109500
2021-08-25,547.580017,2065600
2021-08-26,550.119995,1595500
2021-08-27,558.919983,3251100
2021-08-30,566.179993,2434800
2021-08-31,569.190002,2431900
2021-09-01,582.070007,5626200
2021-09-02,588.549988,6179900
2021-09-03,590.530029,2681200
2021-09-07,606.710022,5821400
2021-09-08,606.049988,5424500
2021-09-09,597.539978,2954200
2021-09-10,598.719971,3948000
2021-09-13,589.289978,3062900
2021-09-14,577.76001,3457000
2021-09-15,582.869995,2755600
2021-09-16,586.5,1832000
2021-09-17,589.349976,4145100
2021-09-20,575.429993,3732200
2021-09-21,573.140015,2250900
2021-09-22,590.650024,4021800
2021-09-23,593.26001,2526200
2021-09-24,592.390015,2126200
2021-09-27,592.640015,2504700
2021-09-28,583.849976,4431100
2021-09-29,599.059998,6221000
2021-09-30,610.340027,6612600
2021-10-01,613.150024,4089800
